January of Years,NE Shelf,NE Deep
1979, 88.8, 71.2
1979, 90.8, 74.8
1979, 90.5, 73.8
1979, 89.0, 70.5
1979, 88.9, 68.3
1979, 92.3, 72.7
1979, 91.3, 74.4
1979, 93.3, 76.5
1979, 88.3, 70.6
1979, 88.0, 72.6
1979, 91.1, 75.8
1979, 88.2, 70.4
1979, 91.1, 72.8
1979, 91.7, 71.9
1979, 93.3, 76.5
1980, 93.6, 53.0
1980, 94.4, 56.2
1980, 93.0, 54.9
1980, 93.6, 57.5
1980, 92.3, 55.7
1980, 89.7, 49.4
1980, 85.5, 48.5
1980, 86.8, 46.9
1980, 84.3, 46.4
1980, 87.6, 48.2
1980, 86.5, 43.2
1980, 88.0, 45.6
1980, 87.9, 48.2
1980, 90.3, 52.4
1980, 92.1, 55.0
1980, 93.5, 56.6
1981, 87.5, 48.4
1981, 87.5, 46.4
1981, 89.4, 49.2
1981, 91.9, 56.8
1981, 87.0, 47.2
1981, 90.1, 49.0
1981, 91.5, 49.9
1981, 91.6, 54.1
1981, 92.8, 59.8
1981, 92.2, 55.6
1981, 93.3, 58.3
1981, 91.3, 58.1
1981, 90.0, 56.2
1981, 89.6, 58.8
1981, 91.5, 62.1
1981, 93.4, 66.6
1982, 92.9, 58.5
1982, 95.2, 63.4
1982, 95.6, 65.4
1982, 95.4, 67.8
1982, 91.3, 63.7
1982, 94.5, 67.9
1982, 92.8, 60.7
1982, 92.5, 61.4
1982, 90.2, 54.2
1982, 91.0, 50.7
1982, 92.1, 55.4
1982, 90.8, 55.8
1982, 89.9, 57.9
1982, 93.8, 61.5
1982, 94.6, 62.0
1983, 86.5, 33.1
1983, 88.1, 35.0
1983, 87.7, 37.4
1983, 86.9, 30.8
1983, 88.1, 30.0
1983, 88.1, 29.7
1983, 87.0, 28.2
1983, 88.1, 31.5
1983, 85.8, 30.7
1983, 86.6, 31.1
1983, 87.5, 35.1
1983, 87.3, 35.4
1983, 85.3, 31.3
1983, 84.7, 29.6
1983, 85.0, 28.2
1983, 86.9, 33.0
1984, 89.4, 44.2
1984, 88.7, 40.9
1984, 92.1, 42.0
1984, 94.1, 44.7
1984, 90.7, 37.7
1984, 88.2, 37.4
1984, 85.9, 31.6
1984, 84.4, 32.2
1984, 87.2, 33.8
1984, 90.1, 37.0
1984, 88.7, 33.3
1984, 88.7, 29.8
1984, 89.2, 30.6
1984, 91.9, 33.3
1984, 90.5, 31.9
1985, 75.1, 29.5
1985, 73.4, 32.0
1985, 78.2, 36.2
1985, 77.7, 40.2
1985, 79.6, 40.0
1985, 76.1, 39.9
1985, 78.0, 42.3
1985, 81.4, 49.0
1985, 80.6, 49.8
1985, 79.7, 44.1
1985, 81.6, 41.3
1985, 84.4, 43.2
1985, 82.4, 45.0
1985, 81.6, 43.2
1985, 84.1, 45.6
1986, 93.0, 59.5
1986, 94.8, 63.1
1986, 96.4, 66.1
1986, 97.1, 67.8
1986, 96.7, 70.2
1986, 96.1, 65.3
1986, 92.9, 61.5
1986, 92.0, 60.0
1986, 94.3, 61.0
1986, 94.1, 57.3
1986, 94.5, 60.8
1986, 95.4, 63.9
1986, 95.4, 67.1
1986, 91.8, 58.9
1986, 93.6, 60.0
1986, 90.7, 61.8
1987, 85.0, 46.3
1987, 86.1, 50.3
1987, 86.3, 51.2
1987, 83.9, 52.0
1987, 82.2, 45.7
1987, 80.4, 52.0
1987, 75.1, 55.1
1987, 80.3, 59.3
1987, 82.0, 60.0
1987, 83.6, 62.5
1987, 86.5, 66.1
1987, 87.7, 70.2
1987, 87.6, 70.5
1987, 87.6, 70.9
1987, 88.0, 67.9
1988, 98.2, 63.4
1988, 98.4, 64.7
1988, 97.4, 62.5
1988, 92.2, 56.8
1988, 92.9, 58.1
1988, 94.4, 59.2
1988, 95.5, 59.5
1988, 95.9, 59.6
1988, 96.0, 60.6
1988, 96.7, 61.5
1988, 96.5, 61.8
1988, 96.9, 64.5
1988, 97.5, 67.4
1988, 96.9, 67.0
1988, 98.2, 68.0
1988, 98.2, 68.4
1988, 98.5, 69.0
1988, 98.7, 69.0
1989, 95.4, 83.0
1989, 91.8, 78.1
1989, 92.4, 78.2
1989, 93.5, 78.7
1989, 93.9, 77.2
1989, 94.6, 77.1
1989, 96.6, 80.7
1989, 97.2, 81.0
1989, 96.9, 79.9
1989, 97.2, 82.4
1989, 97.4, 84.0
1989, 96.8, 82.8
1989, 96.8, 82.9
1989, 96.5, 80.1
1989, 96.2, 77.4
1989, 96.7, 80.0
1989, 97.2, 81.7
1989, 97.4, 82.8
1989, 96.2, 80.8
1989, 95.3, 77.3
1989, 94.8, 75.1
1989, 95.3, 74.7
1989, 96.3, 76.7
1989, 96.5, 75.6
1989, 96.5, 71.6
1989, 97.1, 71.2
1989, 97.6, 72.7
1989, 97.1, 71.3
1989, 97.2, 70.5
1989, 97.2, 70.3
1989, 96.9, 69.5
1990, 93.6, 61.8
1990, 92.3, 60.9
1990, 90.0, 58.9
1990, 90.9, 60.4
1990, 88.0, 60.9
1990, 83.7, 57.2
1990, 84.6, 56.4
1990, 81.6, 51.7
1990, 77.9, 49.3
1990, 76.1, 45.3
1990, 76.4, 42.9
1990, 76.6, 41.9
1990, 76.2, 40.0
1990, 77.0, 39.3
1990, 77.4, 39.1
1990, 79.8, 43.8
1990, 81.3, 47.7
1990, 83.2, 49.9
1990, 84.0, 49.2
1990, 83.9, 48.6
1990, 84.5, 46.5
1990, 83.8, 43.4
1990, 79.9, 37.9
1990, 76.9, 34.7
1990, 75.8, 32.4
1990, 76.2, 31.0
1990, 78.0, 31.0
1990, 78.8, 32.9
1990, 80.3, 35.7
1990, 81.6, 37.1
1990, 81.9, 37.1
1991, 86.5, 26.4
1991, 86.3, 25.9
1991, 88.1, 28.7
1991, 88.9, 31.3
1991, 89.2, 32.5
1991, 89.7, 31.9
1991, 89.7, 30.7
1991, 89.5, 30.5
1991, 87.6, 29.1
1991, 87.3, 29.2
1991, 88.6, 30.0
1991, 89.6, 32.0
1991, 91.0, 34.1
1991, 91.7, 34.5
1991, 90.3, 34.4
1991, 92.0, 35.9
1991, 92.3, 35.8
1991, 92.7, 36.9
1991, 92.7, 38.6
1991, 90.2, 33.4
1991, 91.4, 34.8
1991, 91.7, 34.7
1991, 92.1, 37.5
1991, 91.8, 38.4
1991, 90.2, 38.2
1991, 91.7, 36.3
1991, 90.9, 37.0
1991, 84.3, 35.9
1991, 79.2, 32.1
1991, 81.9, 34.8
1991, 84.8, 37.5
1992, 91.2, 49.6
1992, 91.0, 48.6
1992, 91.1, 47.8
1992, 92.1, 47.3
1992, 93.2, 49.6
1992, 94.0, 50.5
1992, 95.2, 50.7
1992, 96.4, 53.2
1992, 96.9, 55.4
1992, 93.1, 49.7
1992, 91.4, 44.6
1992, 94.1, 47.3
1992, 96.0, 47.4
1992, 93.8, 49.1
1992, 93.5, 49.9
1992, 94.1, 52.3
1992, 95.2, 53.3
1992, 94.9, 52.5
1992, 93.9, 52.0
1992, 86.4, 47.7
1992, 84.2, 49.1
1992, 78.5, 47.4
1992, 82.6, 50.5
1992, 85.6, 53.0
1992, 88.8, 57.1
1992, 91.1, 59.1
1992, 89.6, 58.4
1992, 86.9, 56.4
1992, 91.6, 57.5
1992, 89.9, 57.3
1992, 91.9, 58.1
1993, 88.7, 43.9
1993, 91.6, 46.8
1993, 93.1, 48.0
1993, 92.2, 44.0
1993, 91.2, 40.5
1993, 92.5, 40.7
1993, 92.4, 41.8
1993, 92.8, 42.9
1993, 92.4, 39.3
1993, 93.1, 39.2
1993, 93.2, 39.9
1993, 93.5, 38.6
1993, 94.5, 37.0
1993, 95.4, 38.5
1993, 94.5, 40.7
1993, 93.1, 40.5
1993, 94.6, 43.9
1993, 95.5, 46.0
1993, 95.3, 45.5
1993, 93.7, 44.5
1993, 94.3, 41.8
1993, 95.1, 44.4
1993, 92.6, 44.2
1993, 94.0, 44.0
1993, 95.0, 45.1
1993, 95.1, 46.3
1993, 96.1, 49.1
1993, 96.7, 49.8
1993, 96.1, 48.1
1993, 94.5, 46.9
1993, 91.5, 44.0
1994, 89.4, 33.3
1994, 90.0, 35.1
1994, 90.1, 34.4
1994, 90.4, 35.2
1994, 92.1, 36.5
1994, 91.9, 36.9
1994, 90.9, 36.5
1994, 91.8, 37.0
1994, 92.8, 36.1
1994, 93.0, 36.4
1994, 93.3, 38.6
1994, 94.1, 39.1
1994, 94.2, 40.3
1994, 94.1, 41.1
1994, 93.9, 41.6
1994, 93.3, 43.4
1994, 94.2, 44.9
1994, 95.8, 45.4
1994, 94.1, 40.2
1994, 93.8, 36.6
1994, 92.3, 33.9
1994, 89.8, 32.8
1994, 88.1, 31.6
1994, 89.4, 31.8
1994, 91.3, 32.9
1994, 90.9, 32.4
1994, 90.6, 32.6
1994, 89.8, 32.5
1994, 90.9, 32.1
1994, 90.5, 32.2
1994, 91.5, 33.2
1995, 95.8, 43.5
1995, 95.9, 44.9
1995, 96.1, 44.0
1995, 93.9, 39.1
1995, 92.3, 36.8
1995, 92.5, 36.2
1995, 93.9, 37.0
1995, 93.5, 37.1
1995, 93.6, 38.0
1995, 93.2, 36.4
1995, 93.6, 35.9
1995, 96.3, 38.7
1995, 93.8, 35.0
1995, 92.5, 33.4
1995, 92.8, 34.1
1995, 93.1, 36.0
1995, 92.9, 35.0
1995, 93.4, 35.5
1995, 93.2, 35.1
1995, 93.3, 32.5
1995, 93.5, 33.5
1995, 94.3, 33.6
1995, 94.9, 34.1
1995, 95.2, 34.7
1995, 94.4, 34.5
1995, 94.2, 34.0
1995, 94.6, 35.3
1995, 94.8, 35.6
1995, 94.8, 35.8
1995, 93.8, 37.3
1995, 93.4, 35.1
1996, 90.9, 59.7
1996, 92.1, 60.9
1996, 93.1, 59.7
1996, 94.1, 60.7
1996, 95.1, 61.5
1996, 95.5, 59.6
1996, 94.0, 56.1
1996, 94.8, 56.6
1996, 94.5, 57.6
1996, 94.5, 55.2
1996, 94.8, 54.1
1996, 94.5, 52.5
1996, 93.4, 52.3
1996, 94.5, 49.9
1996, 90.2, 44.4
1996, 86.9, 42.3
1996, 82.3, 43.0
1996, 75.4, 40.8
1996, 72.3, 38.3
1996, 76.4, 42.0
1996, 78.6, 46.6
1996, 75.2, 47.5
1996, 77.2, 48.6
1996, 81.6, 48.7
1996, 82.0, 50.0
1996, 82.7, 54.6
1996, 82.4, 55.2
1996, 82.8, 56.8
1996, 81.4, 56.0
1996, 82.3, 54.8
1996, 79.6, 54.5
1997, 88.9, 58.2
1997, 90.0, 59.8
1997, 91.3, 62.0
1997, 91.4, 63.0
1997, 91.6, 64.8
1997, 89.7, 63.6
1997, 90.6, 65.8
1997, 89.3, 63.9
1997, 91.1, 65.1
1997, 92.5, 68.5
1997, 94.1, 71.3
1997, 95.2, 71.0
1997, 93.8, 65.6
1997, 94.3, 66.6
1997, 94.3, 68.1
1997, 94.0, 66.3
1997, 95.6, 69.7
1997, 94.3, 70.3
1997, 95.4, 69.1
1997, 94.9, 66.0
1997, 95.8, 66.9
1997, 96.6, 69.5
1997, 97.0, 70.8
1997, 93.0, 64.7
1997, 88.8, 62.1
1997, 86.9, 58.8
1997, 86.6, 61.7
1997, 86.5, 63.4
1997, 89.7, 68.0
1997, 89.2, 66.7
1997, 90.1, 68.2
1998, 91.0, 72.3
1998, 86.8, 65.0
1998, 83.7, 60.4
1998, 82.4, 58.2
1998, 83.0, 58.7
1998, 84.3, 60.5
1998, 83.3, 59.1
1998, 82.6, 58.7
1998, 82.8, 60.2
1998, 83.0, 59.8
1998, 82.7, 59.4
1998, 83.8, 61.5
1998, 84.2, 62.7
1998, 85.3, 64.3
1998, 86.4, 65.2
1998, 87.1, 66.2
1998, 87.4, 66.4
1998, 88.0, 69.1
1998, 88.3, 70.5
1998, 88.8, 71.3
1998, 87.3, 70.2
1998, 86.2, 66.4
1998, 87.1, 68.7
1998, 87.7, 71.2
1998, 87.8, 73.7
1998, 87.7, 72.2
1998, 88.6, 74.4
1998, 89.6, 76.3
1998, 89.5, 75.1
1998, 91.6, 77.9
1998, 91.1, 76.9
1999, 95.6, 49.5
1999, 97.1, 49.3
1999, 96.7, 48.6
1999, 96.0, 47.0
1999, 96.1, 47.3
1999, 97.1, 50.8
1999, 97.6, 52.4
1999, 97.4, 54.0
1999, 97.5, 52.8
1999, 98.3, 55.4
1999, 97.7, 53.7
1999, 95.3, 49.7
1999, 95.1, 44.5
1999, 95.1, 37.0
1999, 94.6, 32.0
1999, 93.2, 30.4
1999, 92.7, 30.3
1999, 92.6, 29.8
1999, 91.0, 29.6
1999, 91.1, 28.5
1999, 93.0, 28.6
1999, 94.9, 31.5
1999, 95.4, 34.6
1999, 96.3, 36.2
1999, 96.6, 37.7
1999, 97.2, 39.9
1999, 97.4, 40.5
1999, 97.4, 42.9
1999, 97.8, 43.9
1999, 93.3, 38.8
1999, 91.9, 37.9
2000, 83.2, 29.0
2000, 84.3, 28.8
2000, 84.6, 31.2
2000, 84.5, 32.1
2000, 85.7, 32.2
2000, 86.8, 32.7
2000, 87.2, 32.6
2000, 84.4, 29.9
2000, 83.3, 27.6
2000, 82.2, 26.1
2000, 84.2, 26.9
2000, 85.9, 28.4
2000, 87.0, 31.5
2000, 88.5, 33.4
2000, 91.0, 34.6
2000, 88.7, 34.6
2000, 89.3, 34.3
2000, 90.0, 36.9
2000, 91.4, 37.6
2000, 91.8, 38.3
2000, 92.3, 39.1
2000, 92.9, 40.9
2000, 90.6, 40.3
2000, 87.9, 40.6
2000, 87.5, 40.4
2000, 89.2, 40.0
2000, 90.6, 41.8
2000, 92.0, 43.6
2000, 92.2, 43.8
2000, 90.2, 43.4
2000, 89.7, 41.1
2001, 95.7, 59.1
2001, 95.9, 59.7
2001, 96.6, 62.7
2001, 97.6, 67.3
2001, 98.2, 68.7
2001, 98.8, 70.7
2001, 99.1, 72.1
2001, 99.4, 73.0
2001, 99.1, 74.0
2001, 98.8, 72.1
2001, 98.9, 71.7
2001, 98.5, 71.0
2001, 97.7, 71.0
2001, 97.9, 69.9
2001, 97.8, 67.0
2001, 97.7, 67.7
2001, 98.3, 66.4
2001, 96.0, 65.0
2001, 96.6, 66.0
2001, 97.3, 65.9
2001, 97.2, 64.4
2001, 97.2, 64.3
2001, 95.0, 62.5
2001, 95.9, 63.7
2001, 96.4, 63.6
2001, 97.0, 62.4
2001, 96.6, 59.8
2001, 94.7, 58.0
2001, 93.4, 58.2
2001, 93.3, 59.6
2001, 87.1, 58.2
2002, 89.0, 48.4
2002, 87.6, 48.2
2002, 89.9, 49.5
2002, 83.0, 46.0
2002, 86.8, 46.7
2002, 83.8, 44.1
2002, 80.1, 44.6
2002, 79.7, 46.9
2002, 82.0, 51.9
2002, 83.7, 52.9
2002, 86.9, 56.2
2002, 86.4, 57.6
2002, 85.0, 57.4
2002, 86.6, 59.0
2002, 88.0, 61.6
2002, 89.7, 62.7
2002, 89.7, 63.5
2002, 90.3, 62.0
2002, 91.5, 59.5
2002, 92.1, 60.4
2002, 91.8, 61.4
2002, 90.6, 61.5
2002, 90.9, 62.4
2002, 90.4, 61.5
2002, 91.6, 63.6
2002, 91.7, 64.2
2002, 89.9, 60.9
2002, 91.9, 61.9
2002, 93.5, 65.0
2002, 94.4, 67.8
2002, 95.2, 70.2
2003, 77.9, 29.3
2003, 77.9, 32.2
2003, 76.0, 35.1
2003, 77.5, 36.3
2003, 79.1, 43.7
2003, 79.4, 44.9
2003, 81.2, 47.7
2003, 83.0, 50.3
2003, 84.6, 51.8
2003, 82.1, 55.1
2003, 82.5, 53.0
2003, 82.6, 52.6
2003, 83.0, 54.4
2003, 81.7, 55.7
2003, 80.5, 52.1
2003, 82.5, 50.6
2003, 83.8, 51.4
2003, 85.1, 53.0
2003, 85.5, 55.5
2003, 84.8, 56.0
2003, 83.8, 56.6
2003, 81.8, 52.5
2003, 83.2, 52.8
2003, 86.0, 56.1
2003, 87.9, 57.7
2003, 89.3, 59.7
2003, 90.3, 60.6
2003, 88.5, 60.2
2003, 88.4, 58.9
2003, 88.7, 58.8
2003, 91.2, 59.4
2004, 93.6, 50.9
2004, 93.4, 47.0
2004, 94.5, 44.7
2004, 95.3, 48.3
2004, 96.4, 47.2
2004, 95.7, 46.4
2004, 96.2, 47.4
2004, 96.7, 49.7
2004, 96.2, 48.1
2004, 96.1, 44.7
2004, 95.3, 43.7
2004, 95.1, 42.6
2004, 95.2, 41.3
2004, 94.9, 40.4
2004, 95.0, 40.0
2004, 94.7, 38.3
2004, 93.8, 37.7
2004, 94.6, 37.1
2004, 94.7, 38.3
2004, 95.6, 40.5
2004, 96.4, 41.9
2004, 96.2, 41.7
2004, 96.8, 41.4
2004, 94.2, 44.0
2004, 94.3, 40.8
2004, 94.5, 43.4
2004, 94.2, 45.8
2004, 93.4, 46.3
2004, 91.2, 45.9
2004, 93.0, 44.6
2004, 95.5, 45.5
2005, 89.6, 36.2
2005, 88.1, 35.5
2005, 87.4, 33.9
2005, 88.2, 34.3
2005, 87.4, 33.2
2005, 88.9, 32.5
2005, 90.3, 34.6
2005, 89.4, 34.2
2005, 90.5, 33.5
2005, 90.7, 33.0
2005, 90.6, 32.8
2005, 90.5, 33.6
2005, 92.5, 35.3
2005, 93.4, 37.2
2005, 93.3, 37.8
2005, 93.2, 36.1
2005, 90.4, 32.6
2005, 89.9, 31.5
2005, 90.6, 32.0
2005, 90.9, 34.3
2005, 90.8, 35.8
2005, 92.1, 37.0
2005, 93.4, 39.1
2005, 93.0, 41.4
2005, 86.0, 40.2
2005, 86.3, 40.1
2005, 85.0, 40.5
2005, 86.3, 42.5
2005, 85.1, 37.2
2005, 84.3, 36.7
2005, 86.8, 35.9
2006, 88.6, 41.7
2006, 87.3, 38.8
2006, 83.6, 33.3
2006, 83.6, 29.8
2006, 80.1, 28.2
2006, 76.2, 27.1
2006, 76.4, 27.7
2006, 77.0, 27.7
2006, 79.9, 31.6
2006, 80.3, 32.8
2006, 81.8, 34.9
2006, 82.7, 37.1
2006, 83.3, 34.2
2006, 84.8, 32.6
2006, 85.2, 32.9
2006, 86.7, 33.3
2006, 86.0, 32.3
2006, 86.8, 28.4
2006, 85.8, 26.4
2006, 85.1, 23.8
2006, 81.2, 21.3
2006, 79.3, 19.3
2006, 81.0, 22.1
2006, 84.0, 26.9
2006, 83.6, 29.7
2006, 85.2, 33.0
2006, 84.0, 33.9
2006, 80.5, 33.3
2006, 82.1, 32.4
2006, 84.4, 34.3
2006, 85.3, 34.5
2007, 91.8, 39.7
2007, 92.0, 39.2
2007, 93.1, 40.6
2007, 94.6, 42.3
2007, 95.4, 44.9
2007, 94.3, 44.8
2007, 93.0, 43.4
2007, 91.4, 41.0
2007, 91.2, 39.6
2007, 92.3, 38.4
2007, 93.6, 38.9
2007, 93.5, 40.6
2007, 92.6, 39.5
2007, 91.6, 36.9
2007, 92.1, 36.2
2007, 93.1, 37.0
2007, 94.5, 38.8
2007, 95.1, 40.1
2007, 95.8, 40.5
2007, 96.4, 42.7
2007, 96.4, 44.1
2007, 96.7, 45.1
2007, 96.6, 47.1
2007, 94.2, 47.3
2007, 92.8, 47.7
2007, 93.1, 48.9
2007, 92.3, 51.0
2007, 93.3, 50.4
2007, 95.8, 51.5
2007, 94.6, 48.2
2007, 91.7, 43.5
2008, 90.9, 43.7
2008, 91.2, 42.0
2008, 92.8, 48.6
2008, 95.0, 48.2
2008, 94.7, 46.9
2008, 96.3, 47.7
2008, 96.5, 47.2
2008, 96.5, 46.2
2008, 96.5, 45.6
2008, 96.7, 45.5
2008, 97.4, 49.5
2008, 97.4, 51.5
2008, 97.1, 54.0
2008, 96.9, 54.1
2008, 95.9, 52.5
2008, 93.7, 51.7
2008, 93.5, 52.6
2008, 94.0, 50.3
2008, 94.9, 47.2
2008, 93.0, 42.2
2008, 95.3, 47.9
2008, 97.0, 50.7
2008, 96.9, 50.3
2008, 96.0, 49.2
2008, 94.8, 47.9
2008, 94.3, 47.3
2008, 91.3, 46.4
2008, 92.6, 47.0
2008, 94.2, 46.3
2008, 94.4, 45.6
2008, 94.0, 47.2
2009, 92.0, 51.4
2009, 92.3, 53.4
2009, 93.3, 55.9
2009, 90.8, 56.2
2009, 91.0, 54.6
2009, 91.9, 57.7
2009, 92.2, 59.6
2009, 92.7, 60.2
2009, 93.4, 61.2
2009, 92.8, 58.3
2009, 93.4, 56.8
2009, 93.5, 57.5
2009, 93.9, 61.6
2009, 94.3, 64.4
2009, 93.9, 66.9
2009, 92.3, 63.8
2009, 91.3, 55.1
2009, 91.9, 49.4
2009, 91.7, 45.7
2009, 92.1, 44.7
2009, 92.0, 44.6
2009, 93.0, 45.0
2009, 94.2, 45.9
2009, 94.0, 45.7
2009, 94.2, 44.2
2009, 92.4, 41.8
2009, 89.9, 36.6
2009, 88.4, 34.8
2009, 86.6, 32.7
2009, 86.0, 34.0
2009, 88.0, 38.2
2010, 90.1, 35.9
2010, 87.6, 35.3
2010, 89.5, 36.1
2010, 90.6, 36.6
2010, 91.8, 40.0
2010, 90.3, 41.4
2010, 90.6, 41.2
2010, 91.5, 44.2
2010, 92.0, 45.3
2010, 92.2, 45.4
2010, 92.4, 47.2
2010, 93.2, 48.0
2010, 93.7, 48.3
2010, 94.5, 49.2
2010, 94.4, 48.4
2010, 94.2, 46.4
2010, 94.0, 45.3
2010, 94.9, 44.1
2010, 95.7, 45.7
2010, 94.9, 46.8
2010, 95.4, 44.6
2010, 95.5, 42.7
2010, 95.8, 41.1
2010, 92.2, 38.8
2010, 91.6, 40.1
2010, 91.0, 40.3
2010, 89.1, 36.7
2010, 90.8, 37.6
2010, 92.7, 39.7
2010, 93.2, 41.6
2010, 94.1, 41.9
2011, 94.3, 40.6
2011, 93.9, 42.8
2011, 90.2, 43.0
2011, 91.4, 40.3
2011, 91.3, 42.2
2011, 91.4, 42.5
2011, 91.3, 40.8
2011, 92.3, 42.4
2011, 93.9, 40.7
2011, 94.2, 39.7
2011, 94.2, 40.0
2011, 94.0, 39.4
2011, 94.1, 38.9
2011, 95.2, 41.2
2011, 96.5, 44.2
2011, 96.4, 43.9
2011, 95.6, 43.4
2011, 95.5, 41.8
2011, 96.8, 43.6
2011, 96.8, 43.2
2011, 95.0, 42.8
2011, 95.8, 44.0
2011, 96.0, 46.0
2011, 94.0, 46.8
2011, 91.5, 47.1
2011, 93.3, 48.8
2011, 94.5, 49.5
2011, 95.6, 51.8
2011, 96.5, 54.1
2011, 95.7, 55.3
2011, 94.5, 48.7
